work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary
2023,SE,FT,Principal Data Scientist,EUR,85847,ES,100,ES,L,80000
2023,MI,CT,ML Engineer,USD,30000,US,100,US,S,30000
2023,MI,CT,ML Engineer,USD,25500,US,100,US,S,25500
2023,SE,FT,Data Scientist,USD,175000,CA,100,CA,M,175000
2023,SE,FT,Data Scientist,USD,120000,CA,100,CA,M,120000
2023,SE,FT,Applied Scientist,USD,222200,US,0,US,L,222200
2023,SE,FT,Applied Scientist,USD,136000,US,0,US,L,136000
2023,SE,FT,Data Scientist,USD,219000,CA,0,CA,M,219000
2023,SE,FT,Data Scientist,USD,141000,CA,0,CA,M,141000
2023,SE,FT,Data Scientist,USD,147100,US,0,US,M,147100
2023,SE,FT,Data Scientist,USD,90700,US,0,US,M,90700
2023,SE,FT,Data Analyst,USD,130000,US,100,US,M,130000
2023,SE,FT,Data Analyst,USD,100000,US,100,US,M,100000
2023,EN,FT,Applied Scientist,USD,213660,US,0,US,L,213660
2023,EN,FT,Applied Scientist,USD,130760,US,0,US,L,130760
2023,SE,FT,Data Modeler,USD,147100,US,0,US,M,147100
2023,SE,FT,Data Modeler,USD,90700,US,0,US,M,90700
2023,SE,FT,Data Scientist,USD,170000,US,0,US,M,170000
2023,SE,FT,Data Scientist,USD,150000,US,0,US,M,150000
2023,MI,FT,Data Analyst,USD,150000,US,100,US,M,150000
2023,MI,FT,Data Analyst,USD,110000,US,100,US,M,110000
2023,SE,FT,Research Engineer,USD,275000,DE,0,DE,M,275000
2023,SE,FT,Research Engineer,USD,174000,DE,0,DE,M,174000
2023,SE,FT,Analytics Engineer,USD,230000,GB,100,GB,M,230000
2023,SE,FT,Analytics Engineer,USD,143200,GB,100,GB,M,143200
2023,SE,FT,Business Intelligence Engineer,USD,225000,US,0,US,M,225000
2023,SE,FT,Business Intelligence Engineer,USD,156400,US,0,US,M,156400
2023,SE,FT,Machine Learning Engineer,USD,200000,US,0,US,M,200000
2023,SE,FT,Machine Learning Engineer,USD,130000,US,0,US,M,130000
2023,SE,FT,Data Strategist,USD,90000,CA,0,CA,M,90000
2023,SE,FT,Data Strategist,USD,72000,CA,0,CA,M,72000
2023,SE,FT,Data Engineer,USD,253200,US,0,US,M,253200
2023,SE,FT,Data Engineer,USD,90700,US,0,US,M,90700
2023,SE,FT,Computer Vision Engineer,USD,342810,US,0,US,M,342810
2023,SE,FT,Computer Vision Engineer,USD,184590,US,0,US,M,184590
2023,MI,FT,Data Engineer,USD,162500,US,0,US,M,162500
2023,MI,FT,Data Engineer,USD,130000,US,0,US,M,130000
2023,MI,FT,Data Analyst,USD,105380,US,0,US,M,105380
2023,MI,FT,Data Analyst,USD,64500,US,0,US,M,64500
2023,EN,FT,Data Quality Analyst,USD,100000,NG,100,NG,L,100000
2023,EN,FT,Compliance Data Analyst,USD,30000,NG,100,NG,L,30000
2022,MI,FT,Machine Learning Engineer,INR,20984,IN,50,IN,L,1650000
2023,EN,FT,Applied Scientist,USD,204620,US,0,US,L,204620
2023,EN,FT,Applied Scientist,USD,110680,US,0,US,L,110680
2023,SE,FT,Data Engineer,USD,270703,US,0,US,M,270703
2023,SE,FT,Data Engineer,USD,221484,US,0,US,M,221484
2023,SE,FT,Data Scientist,USD,212750,US,100,US,M,212750
2023,SE,FT,Data Scientist,USD,185000,US,100,US,M,185000
2023,SE,FT,Data Scientist,USD,262000,US,100,US,M,262000
2023,SE,FT,Data Scientist,USD,245000,US,100,US,M,245000
2023,SE,FT,Data Scientist,USD,275300,US,100,US,M,275300
2023,SE,FT,Data Scientist,USD,183500,US,100,US,M,183500
2023,SE,FT,Data Scientist,USD,218500,US,100,US,M,218500
2023,SE,FT,Data Scientist,USD,199098,US,100,US,M,199098
2023,SE,FT,Data Engineer,USD,203300,US,100,US,M,203300
2023,SE,FT,Data Engineer,USD,123600,US,100,US,M,123600
2023,SE,FT,Research Engineer,USD,189110,US,0,US,M,189110
2023,SE,FT,Research Engineer,USD,139000,US,0,US,M,139000
2023,EX,FT,Data Scientist,USD,258750,US,0,US,M,258750
2023,EX,FT,Data Scientist,USD,185000,US,0,US,M,185000
2023,SE,FT,Data Engineer,USD,231500,US,100,US,M,231500
2023,SE,FT,Data Engineer,USD,166000,US,100,US,M,166000
2023,SE,FT,Data Scientist,USD,172500,US,100,US,M,172500
2023,SE,FT,Data Scientist,USD,110500,US,100,US,M,110500
2023,SE,FT,Data Engineer,USD,238000,US,0,US,M,238000
2023,SE,FT,Data Engineer,USD,176000,US,0,US,M,176000
2023,SE,FT,Data Engineer,USD,237000,US,100,US,M,237000
2023,SE,FT,Data Engineer,USD,201450,US,100,US,M,201450
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2023,SE,FT,Applied Scientist,USD,159100,US,0,US,L,159100
2023,SE,FT,Data Engineer,USD,115000,US,0,US,M,115000
2023,SE,FT,Data Engineer,USD,81500,US,0,US,M,81500
2023,SE,FT,Data Scientist,USD,237000,US,100,US,M,237000
2023,SE,FT,Data Scientist,USD,201450,US,100,US,M,201450
2023,SE,FT,Computer Vision Engineer,USD,280000,US,0,US,M,280000
2023,SE,FT,Computer Vision Engineer,USD,210000,US,0,US,M,210000
2023,SE,FT,Data Architect,USD,280100,US,100,US,M,280100
2023,SE,FT,Data Architect,USD,168100,US,100,US,M,168100
2023,SE,FT,Data Engineer,USD,193500,US,100,US,M,193500
2023,SE,FT,Data Engineer,USD,139000,US,100,US,M,139000
2023,MI,FT,Data Scientist,HKD,65062,HK,0,HK,L,510000
2023,SE,FT,Machine Learning Engineer,USD,150000,PT,100,US,M,150000
2023,MI,FT,Applied Machine Learning Engineer,EUR,69751,IN,100,DE,S,65000
2022,EN,FT,AI Developer,USD,300000,IN,50,IN,L,300000
2023,MI,FT,Machine Learning Engineer,EUR,96578,NL,100,NL,L,90000
2023,SE,FT,Business Intelligence Engineer,USD,185900,US,0,US,M,185900
2023,SE,FT,Business Intelligence Engineer,USD,129300,US,0,US,M,129300
2023,SE,FT,Data Engineer,USD,225000,US,100,US,M,225000
2023,SE,FT,Data Engineer,USD,175000,US,100,US,M,175000
2023,SE,FT,Data Engineer,USD,185000,US,0,US,M,185000
2023,SE,FT,Data Engineer,USD,140000,US,0,US,M,140000
2023,SE,FT,Data Scientist,EUR,48289,ES,0,ES,M,45000
2023,SE,FT,Data Scientist,EUR,38631,ES,0,ES,M,36000
2023,SE,FT,Data Scientist,USD,105000,US,0,US,M,105000
2023,SE,FT,Data Scientist,USD,70000,US,0,US,M,70000
2023,EN,FT,Machine Learning Engineer,USD,163196,US,0,US,M,163196
2023,EN,FT,Machine Learning Engineer,USD,145885,US,0,US,M,145885
2023,SE,FT,Data Engineer,USD,217000,US,100,US,M,217000
2023,SE,FT,Data Engineer,USD,185000,US,100,US,M,185000
2023,SE,FT,Data Analyst,USD,202800,US,0,US,L,202800
2023,SE,FT,Data Analyst,USD,104300,US,0,US,L,104300
2023,SE,FT,Data Analyst,USD,145000,US,0,US,M,145000
2023,SE,FT,Data Analyst,USD,65000,US,0,US,M,65000
2023,SE,FT,Data Engineer,USD,165000,US,0,US,M,165000
2023,SE,FT,Data Engineer,USD,132300,US,0,US,M,132300
2023,SE,FT,Data Engineer,USD,179170,US,0,US,M,179170
